hour,node_id,load,temp,storm_active,failed_in_next_hour
0,2,37,21.897925019199388,0,0
1,1,22,23.797481924097458,0,0
2,2,49,17.164288503239206,0,0
3,3,36,19.58606222171199,0,0
4,4,38,23.77198012789662,0,0
5,2,43,20.9849531355266,1,0
6,1,26,20.730990894323906,0,0
7,3,23,18.889517341512118,0,0
8,4,65,21.070702732543126,0,0
9,4,52,20.337184556012705,0,0
10,0,73,25.314440033024418,0,0
11,0,70,33.64205334824091,0,0
12,0,52,36.02440315766105,0,0
13,3,52,41.97482116422089,0,0
14,1,50,31.85541162121495,0,0
15,4,74,31.30105398556091,0,0
16,0,54,22.541116099887304,0,0
17,4,63,22.92966147872714,0,0
18,2,46,20.501203473498073,0,0
19,4,28,16.855968817217384,0,0
20,1,23,15.869477084639556,0,0
21,1,21,21.634714532845333,0,0
22,3,28,23.505131692401456,0,0
23,4,23,20.742298502414204,0,0
0,0,41,21.0442009850524,0,0
1,0,34,17.93751793999015,0,0
2,2,24,23.109842277166784,0,0
3,2,22,18.85758646462391,0,0
4,3,44,24.290674697854282,0,0
5,4,40,15.19027203077153,0,0
6,1,33,24.720762705905393,0,0
7,4,28,24.346902787879536,0,0
8,0,79,22.17231261430666,0,1
9,0,59,21.248260570672016,0,0
10,0,69,41.508494934188334,0,0
11,1,51,32.07719039215307,0,0
12,4,79,32.18269329187034,0,0
13,1,53,36.89317528440425,0,0
14,1,66,30.02799021191038,0,0
15,4,61,25.60506081266525,0,0
16,4,69,20.643374542675136,0,0
17,0,55,19.522734106196957,0,0
18,2,49,17.796010224978623,0,0
19,2,38,22.854488953842353,0,0
20,2,32,18.649064922420475,0,0
21,0,30,24.332605273364283,0,0
22,2,49,20.81441296181958,0,0
23,4,26,15.327687327963972,0,0
0,4,38,16.849556695190454,0,0
1,1,48,17.60015676445066,0,0
2,3,39,20.851678600326757,0,0
3,0,47,20.69693190298815,0,0
4,1,35,23.948386580076942,0,0
5,2,45,23.040812833425623,0,0
6,3,28,19.819015050404193,0,0
7,3,35,24.204407896681282,0,0
8,2,79,17.782677870454933,0,0
9,3,52,22.885027940962868,0,0
10,0,52,39.327851513129644,0,0
11,2,64,25.965759411607944,0,0
12,0,74,43.14937154204383,0,1
13,3,51,29.77759316688237,1,1
14,3,75,33.64943859946564,1,1
15,1,64,32.30120374631283,0,0
16,2,76,20.49696064162488,0,0
17,4,62,20.971799304674988,0,0
18,4,46,24.36963983061958,0,0
19,0,23,18.39705661174869,0,0
20,2,29,20.816544392446122,0,0
21,4,40,21.517553749519013,0,0
22,3,21,22.83640735262346,0,0
23,3,20,24.057872141011135,0,0
0,3,35,20.33223554365469,0,0
1,4,26,16.649798295888488,0,0
2,4,29,23.811136201179288,0,0
3,1,46,16.442589399854135,0,0
4,2,20,20.26843875794643,0,0
5,0,21,17.85881377742406,0,0
6,1,46,17.955192722223366,0,0
7,2,45,15.966436818747505,0,0
8,1,72,22.419279585467297,0,0
9,1,65,19.615218122831518,0,0
10,1,53,39.49581263099411,0,0
11,1,78,38.91060488906387,0,0
12,3,65,37.65538805771577,0,0
13,2,75,32.42214025607282,0,0
14,1,61,42.04908957338967,0,0
15,2,68,32.47601186585758,0,0
16,3,68,23.207750912506537,0,0
17,4,72,18.826617202527625,0,0
18,4,42,21.388378596749828,0,0
19,1,31,23.26457239968558,0,0
20,1,24,22.644792711627844,0,0
21,2,26,23.549576484704737,0,0
22,1,35,18.39184348239297,0,0
23,2,43,24.142610754721193,0,0
0,2,33,24.758866042253235,0,0
1,1,25,19.187868367320437,0,0
2,2,39,19.104769685168744,0,0
3,4,36,23.690126765698665,0,0
4,1,43,24.35605601243727,0,0
5,0,33,22.01337851109476,0,0
6,1,39,22.426817984492423,0,0
7,1,40,15.480066639625571,0,0
8,0,53,23.226029442698632,0,0
9,3,53,24.46936664383423,1,0
10,1,54,35.337378000184664,0,0
11,0,68,34.64536976248227,0,0
12,0,67,41.12871692302393,0,0
13,2,70,41.134835616287745,0,0
14,3,71,40.70601732321978,0,0
15,2,69,30.145458830027604,0,0
16,1,67,16.0355540306556,0,0
17,3,65,21.531494646591124,0,0
18,3,20,15.64724382158984,0,0
19,0,45,18.652061176113122,0,0
20,2,43,16.868582124007645,0,0
21,3,26,15.294310121428426,0,0
22,4,20,19.214357603360785,0,0
23,3,39,23.300276659748818,0,0
0,2,31,24.92146281027638,0,0
1,4,23,21.653761050821146,0,0
2,4,28,16.6204539795028,0,0
3,2,45,23.347179249907242,0,1
4,4,39,15.773421898717718,0,0
5,0,37,18.766285695669964,0,0
6,3,39,20.02509913415761,0,0
7,1,45,16.20790849559913,0,0
8,3,59,19.187516316027725,0,0
9,0,73,16.117904034899002,0,0
10,4,55,32.417996622745974,0,0
11,4,76,36.09631342602617,0,0
12,1,78,25.14040775131235,0,0
13,3,69,27.208316393676604,0,0
14,1,58,39.07809526429881,0,0
15,3,56,29.53033166162847,0,0
16,1,50,18.30426864345577,0,0
17,0,70,21.2246932573661,0,0
18,1,22,23.39971266211116,1,0
19,2,20,15.413201831384821,0,0
20,4,28,17.037044555229908,0,0
21,1,29,17.984023871960233,0,0
22,0,42,19.342998889863654,0,0
23,0,36,24.998137270067136,0,0
0,1,34,23.899152209710266,0,0
1,4,29,21.53267895959543,0,0
2,1,37,21.83136010861331,0,0
3,1,43,18.768390607565784,0,0
4,0,27,24.220516770238802,0,0
5,2,37,16.949220765108343,0,0
6,3,42,22.895573779715484,0,0
7,3,34,18.494026501325877,0,0
8,3,61,18.84840163529865,0,0
9,2,54,21.296156879702878,0,0
10,0,61,33.43736333096273,0,0
11,2,79,34.6293121307371,0,0
12,1,57,27.873370701362653,0,0
13,1,60,44.69725619337359,0,0
14,3,76,42.3262178327413,0,0
15,4,54,29.56751711212535,0,0
16,4,59,20.987697680647962,0,0
17,1,72,17.498555410985404,0,0
18,3,20,21.305785052540358,0,0
19,3,30,16.59860625610632,0,0
20,0,23,20.444198639780303,0,0
21,2,20,20.391335940045042,0,0
22,1,49,18.39852643051024,0,0
23,3,29,21.346171371768733,0,0
0,1,34,24.766885774760446,0,0
1,4,22,19.69473402783392,0,0
2,0,38,21.18340427919539,1,0
3,1,43,20.90061219170044,0,0
4,2,25,23.764272001917583,0,0
5,2,30,24.29788216493882,0,0
6,0,24,21.078449520377315,0,0
7,3,29,23.00799036047674,0,0
8,3,78,22.966245593292268,0,0
9,3,63,15.3044822357523,0,1
10,0,68,31.516308874421895,0,0
11,0,64,42.36296326662221,0,0
12,3,66,44.07071006694667,0,0
13,4,51,40.84284913799664,0,0
14,4,57,42.12763903408594,0,0
15,4,64,25.570413540545204,0,0
16,0,75,22.3781261486885,0,0
17,2,52,18.23889117242052,1,0
18,3,24,19.38989575237511,0,0
19,3,40,20.421643165051417,0,0
20,4,33,23.74870867874836,1,0
21,2,35,23.74421576569448,0,0
22,1,33,15.163223766745865,0,0
23,3,37,24.113611710941004,0,0
0,1,33,18.506974775046476,0,0
1,2,41,21.632376487305013,0,0
2,1,40,22.024849080706055,0,0
3,4,49,20.85223238668072,0,0
4,1,24,23.345128089533123,0,0
5,4,35,18.553148519207316,0,0
6,2,25,23.79284123891759,0,0
7,1,47,20.209108620516812,0,0
8,2,56,22.435303768352885,1,0
9,2,67,15.212695758841804,0,0
10,2,79,34.314909591851304,0,0
11,1,70,38.12033385068921,0,0
12,2,68,34.5647953693966,1,1
13,2,52,41.71526830377766,0,0
14,1,53,25.891586742038264,0,0
15,3,72,37.926367786314884,0,0
16,2,72,22.665530667094632,0,0
17,4,68,19.91082048451892,0,0
18,1,36,21.7478087809234,0,0
19,4,38,18.750760387238387,0,0
20,4,43,20.133833763338483,0,0
21,3,34,19.95544791493444,0,0
22,3,27,18.323522794452035,0,0
23,0,22,18.270872393177136,0,0
0,3,36,17.177565112628244,0,0
1,0,29,18.122552646271693,0,0
2,1,40,21.239295876518273,0,0
3,2,24,20.580519294962237,0,0
4,2,24,21.145965231145777,0,0
5,0,26,23.706940682499283,0,0
6,4,32,22.428574566502963,0,0
7,0,24,16.99470105447258,0,0
8,0,61,16.04245001683447,0,0
9,2,58,24.28973306836966,0,0
10,2,61,41.08254980252461,0,0
11,3,73,34.40893349144938,0,0
12,2,58,25.118671067412993,1,0
13,3,70,40.83364350450531,0,1
14,3,50,40.443451728203975,0,0
15,1,54,41.113079686041104,0,0
16,4,62,16.159857776749895,0,0
17,0,56,23.149746997834725,0,0
18,4,45,23.183854673346982,0,0
19,3,30,24.126187802949442,0,0
20,1,27,23.471452538312708,0,0
21,2,45,22.0969565265343,0,0
22,2,35,15.854541628588244,0,0
23,2,49,16.809590659081543,0,0
0,1,26,16.683476131094856,0,0
1,3,30,21.63379039375792,0,0
2,1,41,24.336407313915366,0,0
3,4,36,24.199237663996122,0,0
4,4,25,16.429106266711287,0,0
5,3,36,17.78507699877522,0,0
6,0,45,19.65877735653419,0,0
7,1,36,19.881412525854973,0,0
8,3,66,20.91262106441845,0,0
9,2,50,24.678461182653198,0,0
10,1,63,38.97143822887975,0,0
11,4,74,37.32672162461036,0,0
12,2,70,38.921711554049196,0,0
13,0,66,26.893178074460856,0,0
14,2,77,27.982788837091228,0,0
15,4,63,25.524978902686154,0,0
16,1,61,24.759969477323654,0,0
17,1,52,24.448880622525614,0,0
18,0,49,20.955214229519946,0,0
19,3,38,15.715583716948068,0,0
20,4,20,19.558874026989265,0,0
21,2,30,21.07491408952437,0,0
22,4,31,20.58593243422444,0,0
23,4,25,24.98326869334201,0,0
0,4,43,20.784945675154994,0,0
1,2,40,21.786768095678685,1,0
2,1,35,18.034032672066513,0,0
3,4,49,21.05189742074152,0,0
4,4,20,16.699400430028568,0,0
5,3,47,22.535239558302678,0,0
6,2,29,19.66152260561672,0,0
7,2,42,18.452449480541162,0,0
8,1,52,17.072782662087665,0,0
9,4,52,20.880317198866408,0,0
10,0,50,39.72384908335904,0,0
11,2,63,37.6067080632311,0,0
12,1,55,37.30232697761395,0,0
13,0,67,35.73000906224927,0,0
14,3,50,38.63358713381902,0,0
15,4,57,29.815324740541133,0,0
16,0,69,22.75814075440661,0,0
17,2,72,16.26873893437115,0,0
18,3,26,23.025489750881004,0,0
19,1,41,23.17313318560449,0,0
20,1,45,20.458531205036365,0,0
21,2,22,24.623268873429065,0,0
22,3,36,19.3494468336458,0,0
23,2,30,24.20800992645319,0,0
0,1,31,24.676834260372274,0,0
1,2,25,23.385932099681522,0,0
2,1,32,23.390695244421124,0,0
3,1,41,19.293167800416345,0,0
4,2,33,18.408482712184835,0,0
5,1,28,22.546903972553153,1,0
6,2,37,15.268090172964337,0,0
7,4,27,16.227362545083178,0,0
8,1,78,15.501234177411604,0,0
9,3,59,15.654050895940976,0,0
10,0,51,43.62679750970829,0,0
11,2,55,25.047670493228015,0,0
12,1,57,32.493828536918635,0,0
13,0,68,38.85890232091874,0,0
14,4,77,44.117386200266,0,0
15,4,64,39.188655244270684,0,0
16,0,76,15.658522855482651,0,0
17,0,64,24.969395170473273,0,0
18,1,24,22.72609370530424,0,0
19,3,49,16.94896201536943,0,0
20,2,41,16.246287059442036,0,0
21,3,49,17.548068512416958,0,0
22,3,40,15.83416436662405,0,0
23,3,20,15.637229239230807,0,1
0,4,47,15.23413669574801,0,0
1,1,49,20.91514989535294,0,0
2,4,45,20.33580956529163,0,0
3,1,36,20.424377753715095,0,0
4,0,21,21.825148218887136,0,0
5,0,36,19.496965498898106,0,0
6,4,27,24.62632618526949,0,0
7,0,27,15.276548749943139,0,0
8,2,54,15.143047641389348,0,0
9,3,53,22.11151198749824,1,1
10,0,77,44.54984710883221,0,1
11,3,62,40.66774601968719,0,0
12,0,56,40.505019805111104,0,0
13,4,53,25.469191965802203,0,0
14,1,51,43.40691348646189,0,0
15,3,66,34.53765488266136,0,0
16,1,75,19.21379581744685,0,0
17,2,74,24.38322930397058,0,0
18,4,34,19.867868658444586,0,0
19,4,39,18.030417838086187,0,0
20,3,34,22.44393446675273,0,0
21,2,32,16.78776144087739,0,0
22,4,33,20.684140870871097,0,0
23,3,48,17.020039225392434,0,0
0,3,20,20.787172497640583,0,0
1,2,45,21.536563486376664,0,0
2,4,44,23.48092508708319,0,0
3,4,21,21.21385138458339,0,0
4,3,28,24.48476793784859,0,0
5,0,29,20.41837513825536,0,0
6,4,43,21.24316464210245,0,0
7,3,38,20.96582919460734,1,0
8,2,73,24.301741904185203,0,0
9,3,55,24.55743130671346,0,0
10,2,73,37.43510848602854,0,0
11,2,51,28.16316301828095,0,0
12,4,57,43.578491111312616,0,0
13,3,62,38.16072379562134,1,0
14,4,62,27.311080570029674,0,0
15,3,58,32.255017266925435,0,0
16,4,53,23.7597537172726,0,0
17,0,63,21.267016604973776,0,0
18,1,44,16.926804139970553,0,0
19,0,21,19.74986874587472,0,0
20,1,40,18.307185996103225,0,0
21,4,34,19.57568141709829,0,0
22,3,24,21.188711627379245,0,0
23,2,47,19.9367095291028,0,0
0,0,24,17.58375968987275,0,0
1,3,43,16.28604504709646,0,0
2,4,46,22.54782695770758,0,0
3,0,30,17.459346853978907,0,0
4,1,43,17.80454344642146,0,0
5,1,43,21.5167899330196,0,0
6,2,42,20.195096929963054,0,0
7,3,28,20.628449310550558,0,0
8,4,68,18.938289306423243,0,0
9,2,78,16.261290272602626,0,1
10,0,57,30.058841387873805,0,0
11,4,51,31.697099897373832,0,0
12,3,59,32.26071914094855,0,0
13,0,60,42.038314682872134,0,0
14,0,55,37.98647306147827,0,0
15,4,79,28.58944632709717,0,0
16,2,56,22.99361254406453,0,0
17,3,66,18.46860128921078,0,0
18,2,21,16.898435944417354,0,0
19,2,26,24.5578511541112,0,0
20,4,39,19.722586638741067,1,0
21,4,35,16.361221562112384,0,0
22,4,26,22.806893714441358,0,0
23,1,39,15.894223149820576,0,0
0,2,38,23.34893164822494,0,0
1,2,34,15.941173547711182,0,0
2,3,21,20.087667798286965,0,0
3,0,38,23.204007651365007,0,0
4,2,41,24.428595016234553,0,0
5,1,26,21.539855169791377,0,0
6,3,26,24.339678689024066,0,0
7,2,32,16.74192872230394,0,0
8,1,64,19.724884730341874,0,0
9,4,63,16.093046007588107,1,0
10,2,51,34.17777155703526,0,0
11,3,73,37.78555238471784,0,0
12,1,67,44.20584270947592,0,0
13,2,76,40.112519367268845,1,1
14,3,51,38.89809277859616,0,0
15,4,66,27.63664996931121,0,0
16,4,65,18.887265926848208,0,0
17,0,57,22.72846868082531,0,0
18,4,25,18.539217148867486,1,0
19,1,24,17.871390997240688,0,0
20,3,31,17.657745120111997,0,0
21,2,48,18.006222917463795,0,0
22,2,25,17.774306680316315,0,0
23,4,28,18.320120066718964,0,0
0,0,23,18.346208434752693,0,0
1,3,42,16.449200669000746,0,0
2,4,24,24.427230499081546,0,0
3,4,25,23.61929725167379,0,0
4,4,26,15.624083009062629,0,0
5,3,26,18.539229767389614,0,0
6,4,20,20.209324743768793,0,0
7,3,25,15.140282506554017,0,0
8,0,59,20.473562095034303,1,0
9,3,65,15.602641763791048,0,0
10,1,56,39.7816781152615,0,0
11,3,53,26.439260557618432,0,0
12,2,73,29.56130581946256,0,0
13,1,63,38.97465315492737,0,0
14,0,54,41.13896300987095,0,0
15,0,64,38.66497821900802,0,0
16,1,79,16.547349633172786,0,0
17,3,75,24.45322643207596,0,0
18,4,29,16.783387396241803,0,0
19,0,25,16.423201474282372,0,0
20,3,20,24.021802688218553,0,0
21,1,36,15.68266536037598,0,0
22,2,42,17.228244586065692,0,0
23,3,42,24.392820247719904,1,0
0,0,24,16.738791512574835,0,0
1,3,28,16.705793965917376,0,0
2,1,42,24.400157419215304,0,0
3,2,25,20.308894146055174,0,0
4,1,28,24.42104635959607,0,0
5,1,28,23.238365827589533,0,0
6,4,36,15.84414951630648,0,0
7,2,49,19.497412562540156,0,0
8,2,55,24.575343608447692,0,0
9,0,55,19.39456531663316,0,0
10,4,72,25.87271663876989,0,0
11,1,74,43.57737450195851,0,0
12,3,73,34.40623126025238,0,0
13,0,52,28.3277707809733,0,0
14,0,53,40.98246850880256,0,0
15,4,54,42.833373908165754,0,0
16,0,51,24.39677246970954,0,0
17,3,64,20.292602659422645,0,0
18,3,38,23.554822575381007,0,0
19,2,33,23.93976140463751,0,0
20,1,26,17.07357334027574,0,0
21,4,26,16.08069483394406,0,0
22,0,40,21.15682045690604,0,0
23,0,25,21.49581824077959,0,0
0,2,33,24.35190349664437,0,0
1,4,49,20.992919798867895,0,0
2,4,20,18.24530691736852,0,0
3,4,22,15.944546091514265,0,1
4,4,27,17.221066388532897,0,0
5,3,48,17.60316681696473,0,0
6,3,34,19.66708587950656,0,0
7,1,20,16.079674058125754,0,0
8,4,67,22.7980895697255,0,0
9,2,66,15.881374125148822,0,0
10,0,58,29.618301706339395,0,0
11,2,57,29.98340706130151,0,0
12,2,55,27.157431328086155,0,0
13,0,64,41.4359830967505,0,0
14,2,72,38.89787956705501,1,0
15,0,76,28.97907518112093,0,0
16,1,72,24.141774872059877,0,0
17,1,63,20.948410392402344,0,0
18,4,22,23.324935174799485,0,0
19,3,45,16.938066073191933,0,0
20,3,49,23.575136976149878,0,1
21,1,36,19.933545752281475,0,0
22,3,42,17.697227626089546,0,0
23,2,32,20.69598747663531,0,0
0,1,41,18.57664540159451,0,0
1,1,22,20.10904503320131,0,0
2,2,48,20.84257158705494,0,0
3,2,22,24.480752526975746,0,0
4,1,29,17.925521243641438,0,0
5,3,37,24.720620784957116,0,0
6,1,42,22.62588267934454,0,0
7,3,36,22.5263099110297,0,0
8,2,53,22.13387386898684,0,0
9,3,77,17.251183531593014,0,0
10,3,62,28.348627832185784,0,0
11,2,62,44.48265398032691,0,1
12,0,70,31.71297215462644,0,0
13,4,56,33.47126366257812,0,0
14,2,76,34.99967531370519,0,0
15,2,50,27.715531518898153,1,0
16,0,71,18.628740939383277,0,0
17,4,59,20.728062866448305,0,0
18,3,45,17.305331563461056,0,0
19,3,45,20.595872715010703,0,0
20,3,47,24.919840858237272,0,0
21,4,43,18.287509086708237,0,0
22,0,41,17.392942534801634,0,0
23,4,31,22.324116749243565,0,0
0,3,40,21.515699805084218,0,0
1,1,30,24.948405226870737,0,0
2,0,25,20.801762253296292,0,0
3,1,34,22.646258726670634,0,0
4,1,34,18.87707297321978,0,0
5,2,32,15.501386479361882,0,0
6,1,32,20.085560351226743,0,0
7,1,33,17.73571021108411,0,0
8,0,56,22.37441835686421,0,0
9,3,52,18.00590878829808,0,0
10,0,56,43.16091981043434,0,0
11,4,62,26.54945681367748,0,0
12,2,56,36.28873471210845,0,1
13,1,50,25.85229236768815,0,0
14,3,63,38.249068114854694,0,0
15,3,73,29.423794909242194,0,0
16,2,50,22.747911921089383,0,0
17,4,60,18.867604222534826,0,0
18,0,29,20.364527075798524,0,0
19,1,48,20.681572262349793,0,0
20,0,30,16.991958531710008,0,0
21,4,35,15.729451151359413,0,0
22,0,39,24.655567418380507,0,0
23,1,22,16.852481015465266,0,0
0,1,31,18.60959547130675,0,0
1,0,34,22.75428548684634,0,0
2,4,31,20.448914587897896,0,1
3,2,23,24.900263722244,0,0
4,2,36,19.904056876246617,0,0
5,3,45,24.031199951165025,0,0
6,3,23,19.927548025805525,0,0
7,2,41,19.600270632473404,0,0
8,4,73,20.67889445816578,0,0
9,1,56,15.715435131861703,0,0
10,1,61,43.41527587727442,0,0
11,1,58,25.10097161839845,0,0
12,3,58,42.846069700354604,0,1
13,1,64,44.0651866835857,0,0
14,4,55,32.293267102713465,0,0
15,4,72,40.93395130211359,0,0
16,1,55,24.60441096917069,0,0
17,4,74,24.568031728171412,0,0
18,2,21,20.968272093581522,0,0
19,0,44,15.14055905263183,0,0
20,2,35,23.090817996782146,0,0
21,2,21,17.457239319160983,0,0
22,3,33,23.312660861663588,0,0
23,1,35,21.372849409832625,0,0
0,2,34,16.068908114195697,0,0
1,3,40,23.68340952304714,0,0
2,1,31,16.267759105409784,0,0
3,2,35,23.08323712533519,0,0
4,1,38,20.252120154871037,0,0
5,3,25,16.660958707915825,0,0
6,0,49,19.836662063920073,0,0
7,3,29,24.38213839995304,0,0
8,3,63,23.23558671339918,0,0
9,2,64,15.826357700780667,0,0
10,4,60,43.934253811511006,0,0
11,0,61,33.569810393555514,0,0
12,0,65,32.53529109076493,0,0
13,3,65,34.29200951105386,0,0
14,2,69,41.93032353640742,0,0
15,4,70,32.378523723952156,0,0
16,4,66,19.505971263711093,0,0
17,3,74,21.743597545048885,0,0
18,3,26,19.77394186431578,0,0
19,2,25,19.9675265267675,0,0
20,3,45,18.501023185842232,0,0
21,2,35,16.188814083577377,0,0
22,0,29,23.75182783815478,0,0
23,4,35,18.771827861582018,0,0
0,2,30,19.200666564587316,0,0
1,3,29,17.933483087480333,0,0
2,2,48,15.270688585051586,0,0
3,0,24,21.880008630184353,0,0
4,1,33,18.895484106680854,0,0
5,4,39,16.650034373385186,0,0
6,3,37,23.22509682209033,0,0
7,2,42,17.708118542660372,0,0
8,4,74,23.647024094620186,0,0
9,0,76,23.85045475908493,0,0
10,1,70,38.40149248255053,0,0
11,4,67,44.72570369976836,0,0
12,3,63,42.637585115709236,0,0
13,1,79,31.124983719816694,0,0
14,3,74,27.236033763433433,0,0
15,2,72,29.692625207842234,0,0
16,2,61,18.76895012109023,0,0
17,4,73,21.145675598953485,0,0
18,3,31,21.87846614493347,0,0
19,4,21,18.818672291334092,0,0
20,2,49,15.256875186679217,0,0
21,2,42,16.22893593468398,0,0
22,0,42,15.353388666082477,1,0
23,1,29,19.022352493725634,0,0
0,0,34,21.174399866740377,0,0
1,2,34,24.755112849654598,0,0
2,2,42,18.775112650815842,0,0
3,1,48,24.357623414586815,0,0
4,2,38,24.37851988855713,0,0
5,0,37,18.407643632573468,0,0
6,2,48,20.727348460173545,0,0
7,1,38,21.39698275195281,0,0
8,4,78,15.51843661590355,0,0
9,2,60,17.840399199772556,0,0
10,2,56,36.80063115339477,0,0
11,1,76,31.561094413918514,0,0
12,0,61,41.739475182423135,0,0
